A00; ;0;1;0;00;9;99;0
A07; ;0;1;0;00;9;99;0
A15; ;0;0;3;28;9;99;2
A16; ;0;0;3;28;9;99;2
A17; ;0;0;3;28;9;99;2
A18; ;0;0;3;28;9;99;2
A19; ;0;0;3;28;9;99;2
A20; ;0;1;0;00;9;99;0
A21; ;0;1;0;00;9;99;0
A22; ;0;1;0;00;9;99;0
A23; ;0;1;0;00;9;99;0
A24; ;0;1;0;00;9;99;0
A25; ;0;1;0;00;9;99;0
A26; ;0;1;0;00;9;99;0
A27; ;0;1;0;00;9;99;0
A28; ;0;1;0;00;9;99;0
A30; ;0;0;1;10;9;99;2
A31; ;0;1;0;00;9;99;0
A32; ;0;1;3;28;9;99;2
A33; ;0;0;3;02;2;01;2
A34; ;2;0;1;10;1;60;2
A35; ;0;0;3;28;9;99;2
A40; ;0;0;3;28;9;99;2
A41; ;0;0;3;28;9;99;2
A50; ;0;0;0;00;9;99;2
A52; ;0;0;1;02;9;99;2
A66; ;0;1;0;00;9;99;0
A67; ;0;1;0;00;9;99;0
A68; ;0;1;0;00;9;99;0
A70; ;0;1;0;00;9;99;0
A71; ;0;1;0;00;9;99;0
A74; ;0;1;0;00;9;99;0
A75; ;0;1;0;00;9;99;0
A77; ;0;1;0;00;9;99;0
A78; ;0;1;0;00;9;99;0
A79; ;0;1;0;00;9;99;0
A80; ;0;1;0;00;9;99;0
A81; ;0;1;0;00;9;99;0
A82; ;0;1;0;00;9;99;0
A90; ;0;1;0;00;9;99;0
A91; ;0;1;0;00;9;99;0
A92; ;0;1;0;00;9;99;0
A93; ;0;1;0;00;9;99;0
A94; ;0;1;0;00;9;99;0
A95; ;0;1;0;00;9;99;0
A96; ;0;1;0;00;9;99;0
A98; ;0;1;0;00;9;99;0
B00; ;0;0;3;02;9;99;2
B01; ;0;0;3;02;9;99;2
B03; ;0;1;0;00;9;99;0
B04; ;0;1;0;00;9;99;0
B06; ;0;0;3;02;9;99;2
B25; ;0;0;3;02;9;99;2
B35; ;0;1;0;00;9;99;0
B36; ;0;1;0;00;9;99;0
B37; ;0;0;3;28;9;99;2
B50; ;0;1;0;00;9;99;0
B51; ;0;1;0;00;9;99;0
B52; ;0;1;0;00;9;99;0
B53; ;0;1;0;00;9;99;0
B54; ;0;1;0;00;9;99;0
B55; ;0;1;0;00;9;99;0
